Address,Latitude,Longitude,Neighborhood
"1419 Potomac  Avenue Pittsburgh, PA ",40.403336,-80.040739,Banksville
"689 Washington Road Pittsburgh, PA ",39.78373,-100.445882,
"300 Mt Lebanon  Boulevard Pittsburgh, PA ",39.78373,-100.445882,
"543 Lincoln  Avenue Pittsburgh, PA ",40.464496,-79.899624,Homewood West
"5455 Curry  Road Pittsburgh, PA ",39.78373,-100.445882,
"2805 Custer Ave Pittsburgh, PA ",40.392551,-79.97917,Carrick
"2805 Custer Avenue Pittsburgh, PA ",40.392551,-79.97917,Carrick
"534 Peebles St Pittsburgh, PA ",40.440525,-79.894505,Regent Square
"5040 Lytle St Pittsburgh, PA ",40.405156,-79.944967,Hazelwood
"1700 Greenleaf Street Pittsburgh, PA ",40.438404,-80.030345,Duquesne Heights
"1473 Banksville Road Pittsburgh, PA ",40.412752,-80.030346,Beechview
"361 42nd Street Pittsburgh, PA ",40.471188,-79.96201,Central Lawrenceville
"151 Margaret St Pittsburgh, PA ",40.369166,-79.915582,Lincoln Place
"2300 E Carson St Pittsburgh, PA ",40.428083,-79.972911,South Side Flats
"360 Castle Shannon Boulevard Pittsburgh, PA ",39.78373,-100.445882,
"5221 Baum Boulevard Pittsburgh, PA ",40.454057,-79.949853,North Oakland
"808 Mifflin  Road Pittsburgh, PA ",40.381374,-79.927669,New Homestead
"1038 Brownsville Rd Pittsburgh, PA ",40.386932,-79.982947,Carrick
"2300 Old Washington Road Pittsburgh, PA ",39.78373,-100.445882,
"949 Liberty Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
"3901 Forbes  Avenue Pittsburgh, PA ",40.439537,-79.899134,Regent Square
"3315 Liberty Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
"4786 Liberty Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
"1816 Murray Ave Pittsburgh, PA ",40.432294,-79.923158,Squirrel Hill South
"2239 Main St Pittsburgh, PA ",40.46458,-79.953733,Central Lawrenceville
"4700 Penn Avenue Pittsburgh, PA ",40.44763,-79.896615,Point Breeze North
"7105 Harrison Street Pittsburgh, PA ",40.478058,-79.958402,Central Lawrenceville
"2200 Woodstock Avenue Pittsburgh, PA ",39.78373,-100.445882,
"109 7th  Street Pittsburgh, PA ",40.444747,-80.000917,Downtown
"271 Joseph St Pittsburgh, PA ",40.466258,-79.910996,Larimer
"32 Old Clairton Blvd Pittsburgh, PA ",39.78373,-100.445882,
"325 6th Avenue Pittsburgh, PA ",39.78373,-100.445882,
"301 S Main St Pittsburgh, PA ",40.443707,-80.027802,West End
"132 S 24th St Pittsburgh, PA ",40.427738,-79.971289,South Side Flats
"350 W Station Square Drive/ Dock Pittsburgh, PA ",39.78373,-100.445882,
"2100 Greentree Road Pittsburgh, PA ",40.435363,-80.033893,West End
"8360 Perry  Highway Pittsburgh, PA ",40.49831,-80.020311,Perry North
"7370 McKnight Road Pittsburgh, PA ",40.496065,-80.012221,Summer Hill
"48 27th Street Pittsburgh, PA ",40.456579,-79.977827,Strip District
"3304 Saw Mill Run Blvd Pittsburgh, PA ",40.384054,-79.995424,Overbrook
"2331 Noblestown Road Pittsburgh, PA ",40.438218,-80.044528,Westwood
"14 Linhart Street Pittsburgh, PA ",40.441698,-80.038053,Elliott
"123 Gilkeson Road Pittsburgh, PA ",39.78373,-100.445882,
"4276 Ohio River Blvd Pittsburgh, PA ",40.448877,-80.017796,Chateau
"3002 Babcock Boulevard Pittsburgh, PA ",39.78373,-100.445882,
"1223 E Carson Street Pittsburgh, PA ",40.428965,-79.985474,South Side Flats
"11746 Frankstown Rd Pittsburgh, PA ",40.459808,-79.873891,East Hills
"3455 California Ave Pittsburgh, PA ",40.462902,-80.031429,Marshall-Shadeland
"3011 West Liberty  Avenue Pittsburgh, PA ",40.413791,-80.009759,Beltzhoover
"60 18th  Street Pittsburgh, PA ",40.450674,-79.985322,Strip District
"601 Baldwin Road Pittsburgh, PA ",40.381302,-79.934396,Hays
"3801 Clairton Blvd Pittsburgh, PA ",39.78373,-100.445882,
"114 Grant Avenue Pittsburgh, PA ",39.78373,-100.445882,
"280 Joseph St Pittsburgh, PA ",40.466258,-79.910996,Larimer
"675 Painters Run Road Pittsburgh, PA ",39.78373,-100.445882,
"4755 Liberty Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
"805 East  Street Pittsburgh, PA ",40.455926,-79.998493,East Allegheny
"4305 Brownsville Road Pittsburgh, PA ",40.386932,-79.982947,Carrick
"1304 Evergreen Avenue Pittsburgh, PA ",39.78373,-100.445882,
"2037 Centre Avenue Pittsburgh, PA ",40.46015,-79.924354,East Liberty
"622 Washington  Road Pittsburgh, PA ",39.78373,-100.445882,
"404 Craig  Street Pittsburgh, PA ",39.78373,-100.445882,
"1535 Lowrie  Street Pittsburgh, PA ",40.46249,-79.98349,Troy Hill
"3335 Spring Garden Avenue Pittsburgh, PA ",40.471458,-79.986306,Spring Garden
"136 20th  Street Pittsburgh, PA ",40.451102,-79.983953,Strip District
"1600 Bingham  Street Pittsburgh, PA ",40.429382,-79.98251,South Side Flats
"1200 Federal Street Pittsburgh, PA ",40.449763,-80.004709,Allegheny Center
"5280 Northumberland  Street Pittsburgh, PA ",40.441413,-79.923363,Squirrel Hill North
"2925 Freeport Road Pittsburgh, PA ",40.486644,-79.890687,Lincoln-Lemington-Belmar
"6886 Forward  Avenue Pittsburgh, PA ",40.427415,-79.906421,Squirrel Hill South
"2660 Library  Road Pittsburgh, PA ",40.3787,-80.002225,Overbrook
"1208 5th Avenue Pittsburgh, PA ",40.454898,-79.911439,Larimer
"203 Brownsville  Road Pittsburgh, PA ",40.386932,-79.982947,Carrick
"601 Greenfield Avenue Pittsburgh, PA ",40.424902,-79.952426,Greenfield
"304 Ross Street Pittsburgh, PA ",40.437095,-79.996551,Downtown
"233 Commercial  Avenue Pittsburgh, PA ",39.78373,-100.445882,
"2243 Shady & Phillips Ave Pittsburgh, PA ",42.06648,-74.159309,
"3319 West Liberty  Avenue Pittsburgh, PA ",40.413791,-80.009759,Beltzhoover
"628 Smithfield Street Pittsburgh, PA ",40.435636,-80.00166,South Shore
"46 18th Street Pittsburgh, PA ",40.450674,-79.985322,Strip District
"600 Weyman  Road Pittsburgh, PA ",39.78373,-100.445882,
"1110 Freeport Road Pittsburgh, PA ",40.486644,-79.890687,Lincoln-Lemington-Belmar
"2226 Arlington  Avenue Pittsburgh, PA ",40.417605,-79.971344,Arlington
"4830 Liberty Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
"98 Center Avenue Pittsburgh, PA ",40.395719,-79.839108,
"5505 Forbes  Avenue Pittsburgh, PA ",40.438035,-79.929853,Squirrel Hill North
"400 Cedar  Avenue Pittsburgh, PA ",40.454886,-80.002207,East Allegheny
"320 Sewickley Oakmont  Road Pittsburgh, PA ",39.78373,-100.445882,
"3014 West Liberty  Avenue Pittsburgh, PA ",40.413791,-80.009759,Beltzhoover
"650 Old Clairton Road Pittsburgh, PA ",39.78373,-100.445882,
"5203 Carnegie St Pittsburgh, PA ",40.481046,-79.952689,Upper Lawrenceville
"7324 Saltsburg  Road Pittsburgh, PA ",39.78373,-100.445882,
"100 Station Square Drive Pittsburgh, PA ",40.434957,-80.00761,South Shore
"1006 Greentree Road Pittsburgh, PA ",40.435363,-80.033893,West End
"916 Presque Isle Dr Pittsburgh, PA ",39.78373,-100.445882,
