id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,longitude,latitude,address,color
40523,Noones Pharmacy,501,Perry Hwy,Pittsburgh,PA,15229,West View,115,Packaged Food Only,8,1/15/1986,1/15/1986,,,,1000,7,,,,"501 Perry Hwy Pittsburgh, PA 15229",#0000ff
40534,St Joseph House Of Hospitality,1635,Bedford  Avenue,Pittsburgh,PA,15219,Pittsburgh-103,307,Traditional Boarding Home/Fee Exempt,1,6/17/1984,6/17/1984,,,70,,1,1,-79.98724301,40.44512212,"1635 Bedford  Avenue Pittsburgh, PA 15219",#0000ff
40516,Rudys House Of Submarines,1920,Monongahela Avenue,Pittsburgh,PA,15218,Swissvale,212,Chain Restaurant without Liquor,1,4/1/1968,4/1/1968,,20,,,1,1,-79.89024133,40.42125326,"1920 Monongahela Avenue Pittsburgh, PA 15218",#0000ff
40519,Castle Shannon Vol Fire Dept,3600,Library  Road,Pittsburgh,PA,15234,Castle Shannon,409,Firehall without Liquor,1,7/29/1985,7/29/1985,,0,,550,1,1,-80.01731337,40.36558656,"3600 Library  Road Pittsburgh, PA 15234",#0000ff
40498,Milwaukee Superette,3396,Milwaukee St,Pittsburgh,PA,15219,Pittsburgh-105,113,Retail/Convenience Store,3,2/14/1986,2/14/1986,,,,1000,7,,-79.96155332,40.45396975,"3396 Milwaukee St Pittsburgh, PA 15219",#0000ff
40500,Co Go's #812,1501,N Canal St,Pittsburgh,PA,15215,Sharpsburg,114,Chain Retail/Convenience Store,1,2/24/1986,2/24/1986,2/27/2019,,,1500,7,1,-79.92601592,40.49668924,"1501 N Canal St Pittsburgh, PA 15215",#0000ff
40149,Henry's Bar & Grille,200,10th St,Pittsburgh,PA,15215,Sharpsburg,201,Restaurant with Liquor,7,10/25/1985,10/25/1985,,9,,,7,,,,"200 10th St Pittsburgh, PA 15215",#0000ff
40137,Star Of India,412,S Craig St,Pittsburgh,PA,15213,Pittsburgh-104,211,Restaurant without Liquor,1,10/28/1985,10/28/1985,3/16/2012,45,,,7,1,-79.94887558,40.44481363,"412 S Craig St Pittsburgh, PA 15213",#0000ff
40142,South Baldwin Social Club,5311,McAnnulty Rd,Pittsburgh,PA,15236,Baldwin Boro,250,Social Club-Bar Only,1,9/25/1985,9/25/1985,,30,,,1,1,-79.99713515,40.34099297,"5311 McAnnulty Rd Pittsburgh, PA 15236",#0000ff
40129,Ikaros Gourmet Co,1412,Chelton Ave,Pittsburgh,PA,15226,Pittsburgh-119,172,Food Processor,2,10/30/1985,10/30/1985,,,,250,7,,-80.01300896,40.38841251,"1412 Chelton Ave Pittsburgh, PA 15226",#0000ff
